landmark,distance,significance
13,0.0041870592831801,0
13,0.0444086848111927,1
13,0.0028577319912038,0
13,0.002396070694332,0
13,0.0065198856319174,0
13,0.0032294998535609,0
13,0.0040048240156492,0
13,0.0035747121557024,0
13,0.0359003833049934,1
13,0.0041327027903458,0
13,0.0043490224864205,0
13,0.0035052587786049,0
13,0.0092884843392998,0
13,0.0037746972627981,0
13,0.0036505113612019,0
13,0.0044083988195272,0
13,0.0036602452530087,0
13,0.0036581324366578,0
13,0.0021760505245252,0
13,0.0054002975517664,0
13,0.0039496142066008,0
13,0.0026037950819455,0
13,0.0049791786377871,0
13,0.0038713500974625,0
13,0.0024686692323129,0
13,0.0032999307601649,0
13,0.0042908371151102,0
13,0.0028516456097713,0
13,0.0036422667125251,0
13,0.0990860082560407,1
13,0.0035341757729369,0
13,0.0230292965381382,1
13,0.0037134251316789,0
13,0.0172638306152327,1
13,0.0036420186179849,0
13,0.0072648149424049,0
13,0.0925471814639591,1
13,0.002953968942473,0
13,0.0042854218945953,0
13,0.0039956684899515,0
13,0.0080918380688701,0
13,0.0080840019518917,0
13,0.0155188437563282,1
13,0.1273654739429243,1
13,0.0034984923031237,0
13,0.0556555462602642,1
13,0.0041883253632585,0
13,0.00464803985579,0
13,0.0035741001144971,0
13,0.0043969861381974,0
13,0.0046152533795872,0
13,0.0042853620010972,0
13,0.0042185853350943,0
13,0.0048857851964309,0
13,0.0034058606192144,0
13,0.0031232799918509,0
13,0.0023161873444458,0
13,0.0717108208626621,1
13,0.003524311541704,0
13,0.0041459777519341,0
13,0.1096089932851199,1
13,0.0025956182149612,0
13,0.0017349972674088,0
13,0.0035008656549254,0
13,0.0038046513723034,0
13,0.08342230788104,1
13,0.0038830685637443,0
13,0.0022411936597725,0
13,0.0039875689897691,0
13,0.0042098505816184,0
13,0.005638940829287,0
13,0.0035621893529202,0
13,0.0033010799426609,0
13,0.0034613258332983,0
13,0.0048790409962191,0
13,0.0029641469631549,0
13,0.0026108512395381,0
13,0.002663228706926,0
13,0.0054593653993228,0
13,0.0043381309330355,0
13,0.0360422020994445,1
13,0.0024738768396728,0
13,0.0021437098176723,0
13,0.0026177694295002,0
13,0.0119735857000445,0
13,0.0026749394444592,0
13,0.0040083314619316,0
13,0.0026429590927233,0
13,0.0264358124984647,1
13,0.0037894591826736,0
13,0.0027091411044152,0
13,0.0043180675093229,0
13,0.0149378769108974,1
13,0.1342096535749061,1
13,0.0054432998209888,0
13,0.0037938034484384,0
13,0.0032118563128393,0
13,0.0579310789502956,1
13,0.1202996072161115,1
13,0.005047253469886,0
13,0.0183052894674394,1
13,0.0047216259352384,0
13,0.0032118235041026,0
13,0.0036667605801179,0
13,0.0518628282428567,1
13,0.0036948234283832,0
13,0.003797339880724,0
13,0.0038967867776032,0
13,0.0162667091712352,1
13,0.0429680960775745,1
13,0.0040584102498159,0
13,0.0183721984723586,1
13,0.1596862881717899,1
13,0.0101796116891471,0
13,0.0044064519536476,0
13,0.0032776847062813,0
13,0.0032351770027431,0
13,0.0039385522893523,0
13,0.00450467826412,0
13,0.0129748309467167,1
13,0.0070922268381122,0
13,0.0168642713377168,1
13,0.0046266099869116,0
13,0.0024893879518264,0
13,0.0053232230913944,0
13,0.014838946662874,1
13,0.0036965618374966,0
13,0.0041713060001999,0
13,0.004496281453954,0
13,0.0047494699711068,0
13,0.0947154268706507,1
13,0.0503299367868157,1
13,0.0036433306393235,0
13,0.0152473087748003,1
13,0.0025508193377528,0
13,0.002535028929953,0
13,0.0053775722789273,0
13,0.0027503318683081,0
13,0.0025118335163854,0
13,0.0032500974011158,0
13,0.0034249137957424,0
13,0.0026308862817794,0
13,0.0041903188602782,0
13,0.0036564954937503,0
13,0.0039498246735016,0
13,0.0042834747424112,0
13,0.0030549764123089,0
13,0.0162046296412424,1
13,0.0041384889648687,0
13,0.0026955735124336,0
13,0.0152794937917657,1
13,0.0044936277678048,0
13,0.006864079744807,0
13,0.0035470815132601,0
13,0.0026752646360803,0
13,0.0125019070216624,1
13,0.168439950116641,1
13,0.1751300398315326,1
13,0.0035445238186413,0
13,0.004492673616654,0
13,0.01598897675831,1
13,0.0032634628506313,0
13,0.0037778398666053,0
13,0.0031000085493372,0
13,0.0203909478890451,1
13,0.0124846617868712,1
13,0.0027001650309419,0
13,0.0037624766276203,0
13,0.003479802268555,0
13,0.0037264185301953,0
13,0.0059863659351469,0
13,0.0043092568523735,0
13,0.0068583011893698,0
13,0.0038781861783399,0
13,0.0042078025896967,0
13,0.0069684589925475,0
13,0.0043380985998857,0
13,0.0766721374814459,1
13,0.0049354524164938,0
13,0.0187785860180246,1
13,0.0026192303259353,0
13,0.0025496087604037,0
13,0.0461305307450548,1
13,0.0025516126016864,0
13,0.0039383822663345,0
13,0.0123732141006131,1
13,0.002829552006891,0
13,0.0025358850296207,0
13,0.0019580076464616,0
13,0.0036440970263555,0
13,0.0034246890993861,0
13,0.0046687793433793,0
13,0.0041707600427648,0
13,0.004160593556121,0
13,0.0179716993341774,1
13,0.0151448155640893,1
13,0.0145678735146405,1
13,0.003201653396526,0
13,0.0026305498596548,0
13,0.0026369043812897,0
13,0.0043555777756709,0
13,0.0039890093166075,0
13,0.0026473035960327,0
13,0.0033492180337766,0
13,0.0036623829264232,0
13,0.003790348075078,0
13,0.0037073279924702,0
13,0.0032324250362712,0
13,0.0057703392447004,0
13,0.0026936229954997,0
13,0.016314234166594,1
13,0.0065651648420139,0
13,0.0040163434920629,0
13,0.0035767283934548,0
13,0.0509646443328736,1
13,0.0147740123555245,1
13,0.003116167056352,0
13,0.0366735223424541,1
13,0.0166663938842772,1
13,0.0037552875272747,0
13,0.1163345863857448,1
13,0.0093675242613385,0
13,0.0040410445857833,0
13,0.0155846848040844,1
13,0.0025316959044776,0
13,0.02154773347442,1
13,0.0128152356839865,1
13,0.0155710689535143,1
13,0.0024740233126982,0
13,0.0661873613019953,1
13,0.0034250950830487,0
13,0.007464457190115,0
13,0.006776870709699,0
13,0.0041204086971223,0
13,0.0031950630518281,0
13,0.0171883262144862,1
13,0.0049719829474331,0
13,0.0725513138712416,1
13,0.0278031798945763,1
13,0.019491053669024,1
13,0.011375919643111,0
13,0.0042748628789465,0
13,0.0047330151897819,0
13,0.004293629788498,0
13,0.1462555874600825,1
13,0.0189545629851361,1
13,0.004752543166304,0
13,0.0111203941971229,0
13,0.0045661025768639,0
13,0.00771510811916,0
13,0.003735298247226,0
13,0.0166895397351789,1
13,0.0247642668728468,1
13,0.0042135963628183,0
13,0.0500818509462661,1
13,0.0024471590318566,0
13,0.006475817290408,0
13,0.0022566048536756,0
13,0.0048291095667491,0
13,0.0033208393074654,0
13,0.004352467812814,0
13,0.004180577555098,0
13,0.0026099220732585,0
13,0.0025160357599725,0
13,0.0024682539111569,0
13,0.002669647156891,0
13,0.0026063305892366,0
13,0.0047600074699468,0
13,0.0025470550104355,0
13,0.00253335458005,0
13,0.0021039379881518,0
13,0.0023153638872873,0
13,0.0080720492501924,0
13,0.0041783144683122,0
13,0.0032393122329089,0
13,0.0393478363860891,1
13,0.0039866967712908,0
